Id,Cidade,Id UF
1,SAO LUIS,MA
2,PORTO NACIONAL,TO
3,CANDEIAS,BA
4,SINOP,MT
5,LUIS EDUARDO MAGALHAES,MA
6,BALSAS,MA
7,SEBASTIÃO LEAL,PI
8,ARAGUAINA,TO
9,CUIABA,MT
10,CORRENTINA,BA
11,LUIS EDUARDO MAGALHAES,BA
12,SAO DESIDERIO,BA
13,RONDONOPOLIS,MT
14,PARANAGUA,PR
15,SANTAREM,PA
16,CHAPADAO DO CEU,GO
17,NOVA MUTUM,MT
18,Rondonopolis,MT
19,SORRISO,MT
20,BURITIS,MG
21,BARREIRAS,BA
22,Campo Novo do Parecis,MT
23,RONDONOPOLISU,MT
24,URUÇUI,PA
25,FORMOSA,GO
26,APARECIDA DE GOIANIA,GO
27,URUÇUI,PI
28,SAO MIGUEL DO PASSA QUATRO,GO
29,ITUVERAVA,SP
30,PAULINIA,SP
31,PRIMAVERA DO LESTE,MT
32,LUCAS DO RIO VERDE,MT
33,INHUMAS,GO
34,UBERABA,MG
35,ITABERA,SP
36,RIO VERDE,GO
37,BRASILIA,DF
38,VERA,MT
39,CUBATÃO,SP
40,BARCARENA,PA
41,MATUPÁ,MT
42,Uberlândia,MG
43,RIO GRANDE,RS
44,Água Boa,MT
45,PALMEIRANTE,TO
46,CAMPINAS,SP
47,CAMPO GRANDE,MS
48,SANTA HELENA DE GOIAS,GO
49,SANTOS,SP
50,CATALAO,GO
51,CANOAS,RS
52,PARANATINGA,MT
53,FORMOSA DO RIO PRETO,BA
54,PARNARAMA,MA
55,MARIANOPOLIS DO TOCANTINS,TO
56,RIACHAO DAS NEVES,BA
57,SAO RAIMUNDO DAS MANGABEIRAS,MA
58,TASSO FRAGOSO,MA
59,ARAGUACEMA,TO
60,MAGALHAES DE ALMEIDA,MA
61,PIUM,TO
62,RIACHAO,MA
63,SEBASTIAO LEAL,PI
64,APARECIDA DO RIO NEGRO,TO
65,BOM JESUS,PI
66,LAGOA DA CONFUSAO,TO
67,COCOS,BA
68,ITACAJA,TO
69,TAPURAH,MT
70,JUARA,MT
71,BAIXA GRANDE DO RIBEIRO,PI
72,CAMPO NOVO DO PARECIS,MT
73,S O F LIX DO ARAGUAIA,MT
74,REGENERACAO,PI
75,BOM JESUS DO TOCANTINS,TO
76,MONTE DO CARMO,TO
77,TERRA NOVA DO NORTE,MT
78,BOM JESUS DO ARAGUAIA,MT
79,BREJO,MA
80,GOIATINS,TO
81,POXOREU,MT
82,NOVA IORQUE,MA
83,ALTO PARNAIBA,MA
84,QUERENCIA,MT
85,GAUCHA DO NORTE,MT
86,TESOURO,MT
87,SANTA CARMEM,MT
88,SAO FELIX DO ARAGUAIA,MT
89,ALTO BOA VISTA,MT
90,NOVA BRASILANDIA,MT
91,VILHENA,RO
92,ROLIM DE MOURA,RO
93,COMODORO,MT
94,PEDRA PRETA,MT
95,ITIQUIRA,MT
96,PARAGOMINAS,PA
97,GA CHA DO NORTE,MT
98,RIBEIRO GONCALVES,PI
99,ALTO GARCAS,MT
100,SANTA MARIA DO TOCANTINS,TO
101,SAPEZAL,MT
102,CONFRESA,MT
103,IPIRANGA DO NORTE,MT
104,DIAMANTINO,MT
105,GENERAL CARNEIRO,MT
106,NOVO SAO JOAQUIM,MT
107,ITINGA DO MARANHAO,MA
108,MATEIROS,TO
109,SONORA,MS
110,ULIANOPOLIS,PA
111,SANTA RITA DE CASSIA,BA
112,GUARAI,TO
113,NOVA CANA  DO NORTE,MT
114,CACERES,MT
115,BURITI,MA
116,MINEIROS,GO
117,RIO CRESPO,RO
118,BRASNORTE,MT
119,RONDON DO PARA,PA
120,CANARANA,MT
121,AGUA BOA,MT
122,ALTO ARAGUAIA,MT
123,TANGARA DA SERRA,MT
124,COXIM,MS
125,SAO BENTO DO TOCANTINS,TO
126,GRAJAU,MA
127,COUTO DE MAGALHAES,TO
128,JABORANDI,BA
129,URUCUI,PI
130,BALIZA,GO
131,FORTUNA,MA
132,SAO JOSE DO XINGU,MT
133,NOVA MARINGA,MT
134,CAMPOS LINDOS,TO
135,SAPUCAIA,PA
136,RONDON POLIS,MT
137,TALISMA,TO
138,ALMAS,TO
139,GILBUES,PI
140,MONTE ALEGRE DO PIAUI,PI
141,CAMPOS DE JULIO,MT
142,ITAUBA,MT
143,MARCELANDIA,MT
144,NOVA CANAA DO NORTE,MT
145,SAO VALERIO DA NATIVIDADE,TO
146,ALTO GAR AS,MT
147,PIMENTEIRAS DO OESTE,RO
148,CASTANHEIRAS,RO
149,NOVA UBIRATA,MT
150,JUSSARA,GO
151,PEIXOTO DE AZEVEDO,MT
152,SANTANA DO ARAGUAIA,PA
153,CANABRAVA DO NORTE,MT
154,ROSARIO OESTE,MT
155,BARRA DO GARCAS,MT
156,ARAGOMINAS,TO
157,ITAPIRATINS,TO
158,GUIRATINGA,MT
159,FORMOSO DO ARAGUAIA,TO
160,SILVANOPOLIS,TO
161,ALTO TAQUARI,MT
162,DOM AQUINO,MT
163,PIRAQUE,TO
164,XINGUARA,PA
165,XAMBIOA,TO
166,PARANAITA,MT
167,PORTO ALEGRE DO NORTE,MT
168,SANTA FILOMENA,PI
169,SAO FELIX DE BALSAS,MA
170,NOVA XAVANTINA,MT
171,AREA RURAL DE LUCAS DO RIO VERDE,MT
172,SANTA RITA DO TRIVELATO,MT
173,FORTALEZA DO TABOCAO,TO
174,NOBRES,MT
175,ALTA FLORESTA,MT
176,SAO JOSE DO RIO CLARO,MT
177,JUSCIMEIRA,MT
178,CARIRI DO TOCANTINS,TO
179,MATA ROMA,MA
180,JACIARA,MT
181,POCONE,MT
182,PORTO DOS GAUCHOS,MT
183,BAIANOPOLIS,BA
184,SAO GABRIEL DO OESTE,MS
185,SANTA RITA DO TOCANTINS,TO
186,PASTOS BONS,MA
187,COLINAS,MA
188,FELIZ NATAL,MT
189,SAO JOAO DOS PATOS,MA
190,MATUPA,MT
191,LORETO,MA
192,SAO PEDRO DA CIPA,MT
193,NOVA MONTE VERDE,MT
194,ARAPUTANGA,MT
195,SANTO ANTONIO DO LESTE,MT
196,NOVA COLINAS,MA
197,CAROLINA,MA
198,TABAPORA,MT
199,NOVO MUNDO,MT
200,SANTA MARIA DAS BARREIRAS,PA
201,FLORESTA DO ARAGUAIA,PA
202,CAMPO VERDE,MT
203,NOVA SANTA HELENA,MT
204,SANTO ANTONIO DO LEVERGER,MT
205,MURICILANDIA,TO
206,DUERE,TO
207,CAXIAS,MA
208,SAO DOMINGOS DO AZEITAO,MA
209,PASSAGEM FRANCA,MA
210,PORTO VELHO,RO
211,NOVO PROGRESSO,PA
212,SAO DOMINGOS,GO
213,PALMEIRA DO PIAUI,PI
214,LAGO DA PEDRA,MA
215,SUCUPIRA DO NORTE,MA
216,VILA RICA,MT
217,CLAUDIA,MT
218,CUMARU DO NORTE,PA
219,CAMPINAPOLIS,MT
220,COSTA RICA,MS
221,UNIAO DO SUL,MT
222,DOIS IRMAOS DO TOCANTINS,TO
223,CASEARA,TO
224,SAMBAIBA,MA
225,BANNACH,PA
226,ITAPUA DO OESTE,RO
227,CABIXI,RO
228,CANDEIAS DO JAMARI,RO
229,CURRAIS,PI
230,MARCEL NDIA,MT
231,BENEDITO LEITE,MA
232,CONCEICAO DO ARAGUAIA,PA
233,TABAPOR,MT
234,ALTAMIRA,PA
235,BANDEIRANTES,MS
236,RIBAS DO RIO PARDO,MS
237,SAO GONCALO DO PIAUI,PI
238,ITANHANGA,MT
239,VILA BELA DA SANTISSIMA TRINDADE,MT
240,PARECIS,RO
241,CUJUBIM,RO
242,CEREJEIRAS,RO
243,COCALINHO,MT
244,PORTELANDIA,GO
245,MARCOS PARENTE,PI
246,ARIQUEMES,RO
247,IMPERATRIZ,MA
248,RIBEIRAO CASCALHEIRA,MT
249,DIANOPOLIS,TO
250,BURITICUPU,MA
251,CHUPINGUAIA,RO
252,RECIFE,PE
253,REDENCAO,PA
254,NOVA ROSALANDIA,TO
255,ALVORADA,TO
256,ABREULANDIA,TO
257,MONTES CLAROS DE GOIAS,GO
258,PALMAS,TO
259,LAGOA DO TOCANTINS,TO
260,NOSSA SENHORA DO LIVRAMENTO,MT
261,SANTA CRUZ DO XINGU,MT
262,CHAPADAO DO SUL,MS
263,DIVINOPOLIS DO TOCANTINS,TO
264,ALTO PARAGUAI,MT
265,SERRA NOVA DOURADA,MT
266,ALTO PARAISO,RO
267,PONTA PORA,MS
268,SENADOR ALEXANDRE COSTA,MA
269,CHAPADA DOS GUIMARAES,MT
270,NOVA NAZAR,MT
271,SANTA ROSA DO TOCANTINS,TO
272,AFONSO CUNHA,MA
273, GUA BOA,MT
274,CHAPADINHA,MA
275,ALTA FLORESTA D'OESTE,RO
276,RIBEIR O CASCALHEIRA,MT
277,NOVA MAMORE,RO
278,TAILANDIA,PA
279,PONTES E LACERDA,MT
280,RIBEIRAOZINHO,MT
281,LAGOA DO MATO,MA
282,CORUMBIARA,RO
283,IBIPORA,PR
284,PORTO DOS GA CHOS,MT
285,MIRANORTE,TO
286,NOVA BRASIL NDIA,MT
