Id,Contrato Venda,Item Contrato,Pedido SalesForce,Tipo,Data de criação,Data Início Entrega,Data Fim Entrega,Quantidade,Valor,Moeda,Incoterms,Id Mot. Rec.,Id Centro,Id Local Exp.,Id UF Origem,Id Origem,Id Cliente,Id UF Destino,Id Destino,Id Itinerário,Id Grupo Merc.,Id Produto
1,40011203,10,00000108,Contrato Vend Origeo,31/01/2023,,,"2600,0","1976840,24",USD,CIF,,2165,JF11,BA,,2309558,BA,11,AA3725,B1450,153613
2,40011204,10,00000109,Contrato Vend Origeo,31/01/2023,,,"500,0","380161,58",USD,CIF,,2165,JF11,BA,,1896985,BA,53,AA3717,B1450,153613
3,40011205,20,00000112,Contrato Vend Origeo,17/02/2023,,,"45,0","33750,0",USD,CIF,,2166,JF14,MA,"1,0",2312304,MA,54,,B1450,153654
4,40011205,10,00000112,Contrato Vend Origeo,17/02/2023,,,"45,0","27000,0",USD,CIF,,2166,JF14,MA,"1,0",2312304,MA,54,AA3835,B1450,155104
5,40011206,10,00000118,Contrato Vend Origeo,22/03/2023,,,"233,0","130154,07",USD,FOB,A2,2167,JF05,MA,"1,0",2091089,TO,2,AA3823,B1450,153482
6,40011207,10,00000116,Contrato Vend Origeo,22/03/2023,,,"233,0","130154,07",USD,FOB,A2,2167,JF05,MA,"1,0",2052300,TO,2,AA3823,B1450,153482
7,40011208,10,00000115,Contrato Vend Origeo,22/03/2023,,,"233,0","130154,07",USD,FOB,A2,2167,JF05,MA,"1,0",2307180,TO,2,AA3823,B1450,153482
8,40011209,10,00000118,Contrato Vend Origeo,22/03/2023,,,"233,0","130154,07",USD,FOB,A2,2167,JF05,MA,"1,0",2091089,TO,2,AA3823,B1450,153482
9,40011210,10,00000120,Contrato Vend Origeo,22/03/2023,,,"233,0","130154,07",USD,FOB,A2,2167,JF05,MA,"1,0",2286539,TO,2,AA3823,B1450,153482
10,40011211,10,00000121,Contrato Vend Origeo,22/03/2023,,,"600,0","335160,68",USD,FOB,A2,2167,JF05,MA,"1,0",2050774,TO,2,AA3823,B1450,153482
11,40011212,10,00000124,Contrato Vend Origeo,31/03/2023,,,"719,93","424758,7",USD,FOB,,2166,JF05,MA,"1,0",1139022,MA,6,AA6606,B1450,153389
12,40011213,10,00000131,Contrato Vend Origeo,04/04/2023,,,"233,0","106248,0",USD,FOB,,2167,JF05,MA,"1,0",2307180,TO,2,AA3823,B1450,153389
13,40011214,10,00000137,Contrato Vend Origeo,05/04/2023,,,"1300,0","821730,0",USD,CIF,,2167,JF15,TO,"2,0",1595249,TO,55,AA6561,B1450,153482
14,40011215,10,PEDIDO 227,Contrato Vend Origeo,19/04/2023,,,"114,0","71248,86",USD,CIF,,2165,JF02,BA,"3,0",2324872,BA,12,AA3722,B1450,153389
15,40011216,10,00000158,Contrato Vend Origeo,02/05/2023,,,"950,0","2569726,25",BRL,CIF,,2165,JF28,MT,"4,0",1000134,BA,56,AA7572,B1450,156461
16,40011306,20,00000111,Contrato Vend Origeo,17/02/2023,,,"454,0","276739,11",USD,CIF,A2,2166,JF14,MA,"1,0",2141217,MA,57,AA3835,B1450,153482
17,40011306,10,00000111,Contrato Vend Origeo,17/02/2023,,,"489,0","362006,1",USD,CIF,A2,2166,JF14,MA,"1,0",2141217,MA,57,AA3835,B1450,153654
18,40011307,10,00000114,Contrato Vend Origeo,06/03/2023,,,"900,0","619355,51",USD,FOB,A2,2166,JF08,MA,"1,0",1002238,MA,6,AA3768,B1450,153654
19,40011308,10,00000114,Contrato Vend Origeo,06/03/2023,,,"900,0","619355,51",USD,FOB,,2166,JF08,MA,"1,0",1002238,MA,6,AA3768,B1450,153654
20,40011309,10,00000115,Contrato Vend Origeo,22/03/2023,,,"233,0","130154,07",USD,FOB,A2,2167,JF05,MA,"1,0",2307180,TO,2,AA3823,B1450,153482
21,40011310,10,00000117,Contrato Vend Origeo,22/03/2023,,,"600,0","335160,68",USD,FOB,A2,2167,JF05,MA,"1,0",1610091,TO,2,AA3823,B1450,153482
22,40011311,10,00000122,Contrato Vend Origeo,22/03/2023,,,"235,0","131271,27",USD,FOB,A2,2167,JF05,MA,"1,0",2307225,TO,2,AA3823,B1450,153482
23,40011312,10,00000117,Contrato Vend Origeo,22/03/2023,,,"600,0","335160,68",USD,FOB,A2,2167,JF05,MA,"1,0",1610091,TO,2,AA3823,B1450,153482
24,40011313,10,00000119,Contrato Vend Origeo,22/03/2023,,,"233,0","130154,07",USD,FOB,A2,2167,JF05,MA,"1,0",2091105,TO,2,AA3823,B1450,153482
25,40011314,10,00000122,Contrato Vend Origeo,22/03/2023,,,"235,0","131271,27",USD,FOB,A2,2167,JF05,MA,"1,0",2307225,TO,2,AA3823,B1450,153482
26,40011315,60,00000147,Contrato Vend Origeo,26/04/2023,,,"3500,0","42245,0",USD,CIF,A2,2165,2165,MA,"5,0",1004001,BA,53,,B1260,155988
27,40011315,10,00000147,Contrato Vend Origeo,26/04/2023,,,"1480,0","8199,2",USD,CIF,A2,2165,2165,MA,"5,0",1004001,BA,53,,B1260,155989
28,40011315,40,00000147,Contrato Vend Origeo,26/04/2023,,,"2000,0","28620,0",USD,CIF,A2,2165,2165,MA,"5,0",1004001,BA,53,,B1260,155992
29,40011315,50,00000147,Contrato Vend Origeo,26/04/2023,,,"400,0","1632,0",USD,CIF,A2,2165,2165,MA,"5,0",1004001,BA,53,,B1260,156004
30,40011315,20,00000147,Contrato Vend Origeo,26/04/2023,,,"300,0","10260,0",USD,CIF,A2,2165,2165,MA,"5,0",1004001,BA,53,,B1260,156007
31,40011315,80,00000147,Contrato Vend Origeo,26/04/2023,,,"260,0","2550,6",USD,CIF,A2,2165,2165,MA,"5,0",1004001,BA,53,,B1260,156015
