Id,Id Centro,Id Grupo Merc.,Id Produto,Lote,Data Vencimento,Data Última EM,Texto Cabeç Doc,Id Cliente,Estoque Livre,Estoque Bloqueado,Estoque Consignado
1,2168,01000,157404,0000819036,,25/03/2024,,2141211,"-51,0","0,0","0,0"
2,2168,01000,157404,0000819036,,25/03/2024,,,"51,0","0,0","0,0"
3,2168,B1450,153389,0000817106,,13/03/2024,,,"50,06","0,0","0,0"
4,2168,B1450,153389,P08A240036,08/01/2025,11/01/2024,,,"9,9","0,0","0,0"
5,2168,B1450,156370,2322924112,30/11/2025,30/11/2023,,2053360,"-22,3","0,0","0,0"
6,2168,B1450,156370,2322924112,30/11/2025,30/11/2023,,2308309,"-0,16","0,0","0,16"
7,2168,B1450,156370,2322924112,30/11/2025,30/11/2023,,,"22,46","0,0","0,0"
8,2168,B1450,156370,2322929890,29/11/2025,29/11/2023,,1093828,"-171,5","0,0","0,0"
9,2168,B1450,156370,2322929890,29/11/2025,29/11/2023,,2053360,"-132,12","0,0","0,0"
10,2168,B1450,156370,2322929890,29/11/2025,29/11/2023,REFERENTE AO NAVIO IZMIR,,"3,62","0,0","0,0"
11,2168,B1450,156370,2322929890,29/11/2025,29/11/2023,,,"300,0","0,0","0,0"
12,2168,B1450,156370,2322933014,29/11/2025,29/11/2023,,2053360,"-175,58","0,0","0,0"
13,2168,B1450,156370,2322933014,29/11/2025,29/11/2023,,2308309,"-0,34","0,0","0,34"
14,2168,B1450,156370,2322933014,29/11/2025,29/11/2023,,,"175,92","0,0","0,0"
15,2168,B1450,156370,2322934657,29/11/2025,29/11/2023,,2053360,"-14,0","0,0","0,0"
16,2168,B1450,156370,2322934657,29/11/2025,29/11/2023,,2308309,"-3,0","0,0","3,0"
17,2168,B1450,156370,2322934657,29/11/2025,29/11/2023,,,"17,0","0,0","0,0"
18,2168,B1450,156723,0000817272,,14/03/2024,,,"48,0","0,0","0,0"
19,2168,B1450,156816,0000817270,,14/03/2024,,,"28,65","0,0","0,0"
20,2168,B1450,156816,0000817271,,14/03/2024,,,"30,28","0,0","0,0"
21,2169,B1260,155989,0167-23,08/08/2027,08/09/2023,,1805219,"-9160,0","0,0","0,0"
22,2169,B1260,155989,0167-23,08/08/2027,08/09/2023,,,"9160,0","0,0","0,0"
