Id,Itinerário,Distância KM
AA3725,(FERT)CANDEIAS->LEM,913
AA3717,(FERT)CANDEIAS->FORM. RIO PRETO,966
AA3835,(FERT)SAO LUIS->S. R. MANGABEIRAS,710
AA3823,(FERT)SAO LUIS->PORTO NACIONAL,1.301
AA6606,(FERTGROW)SAO LUIS->(1139022)BALSAS,802
AA6561,(EUROCHEM)PORTO NACIONAL->(1595249)MARIA,238
AA3722,(FERT)CANDEIAS->JABORANDI,866
AA7572,(MIXFERTIL)PAULINIA->(1000134)RIACHAO DA,246
AA3768,(FERT)SAO LUIS->BALSAS,800
AA6605,(EUROCHEM)SAO LUIS->(2137605)ARAGUACEMA,1.167
AA3742,(FERT)CANDEIAS->RIACHAO DAS NEVES,866
AA0075,(Uniggel)L.CONFUSAO->(Cliente)T.FRAGOSO,881
AA3698,(FERT)CANDEIAS->BARREIRAS,819
AA7700,(BRAVO)CUIABA->(2013104)LUCAS DO RIO VER,333
AA3825,(FERT)SAO LUIS->RIACHAO,788
AA6618,(BRAVO)LEM->(1905104)SEBASTIAO LEAL,779
AA4162,(2167)ARAGUAINA->MAR. DO TOCANTINS,462
AA6601,(EUROCHEM)LEM->(1005092)LEM,50
AA6602,(EUROCHEM)LEM->(1000544)LEM,50
AA6603, (EUROCHEM)LEM->(1983526)LEM,50
AA6604,(EUROCHEM)SAO LUIS->(2313906)PIUM,1.283
AA3750,(FERT)CANDEIAS->SAO DESIDERIO,850
AA7925,(Origeo)CUIABA->(2109221)SORRISO,396
AA3941,(2165)LEM->COCOS,424
AB1297,(Origeo )ARAGUAINA->(2331121)ITACAJA,191
AA8274,(PRODUTIVA)SAO DESIDERIO->(1005651)BARRE,30
AA6978,(CIBRA)SINOP->LUCAS DO RIO VERDE,149
AA7014,(CIBRA)SINOP->SINOP,30
AA6907,(CIBRA)RONDONOPOLIS->JUARA,910
AA4103,(2166)BALSAS->TASSO FRAGOSO,143
AA4117,(2167)ARAGUAINA->B. GDE DO RIBEIRO,435
AB4716,(ORIGEO)ARAGUAINA->REGENERACAO,790
AB2115,(FERTGROW)SAO LUIS->(2325995)BOM JESUS D,1.117
AA3812,(FERT)SAO LUIS->MONTE DO CARMO,1.338
AB4199,(50045901)NOVA MUTUM->(2307348)PONTES E,685
AB3840,(Orígeo)CUIABA->(1422679)CAMPO NOVO DO P,402
AB4967,(origeo)BALSAS->(1154887)BREJO,741
AA4021,(2166)BALSAS->BALSAS,50
AB0392,(Origeo )CUIABA->(MULTI)PRIMAVERA DO LES,237
AA4119,(2167)ARAGUAINA->BARRA DO OURO,96
AA6927,(CIBRA)RONDONOPOLIS->POXOREU,86
AA3952,(2165)LEM->FORM. RIO PRETO,241
