Id,Produto,Unidade,NCM,Id Grupo Merc.
153613,FERTILIZANTE 09-44-00,t,3105.59.00,B1450
153654,FERTILIZANTE MAP 11-52-00,t,3105.40.00,B1450
155104,FERTILIZANTE UREIA 46-00-00,t,3102.10.10,B1450
153482,FERTILIZANTE KCl 00-00-60,t,3104.20.90,B1450
153389,FERTILIZANTE KCl 00-00-60,t,3104.20.10,B1450
156461," FERTILIZANTE COMP. 1,5B, 3CU, 6MN, 6Zn",t,3824.99.79,B1450
155988,TRIDIUM 2X10 KG,kg,3808.92.93,B1260
155989,UPMYL 20 L,Litro,3808.91.99,B1260
155992,PERITO 970 SG 2X10 KG,kg,3808.91.91,B1260
156004,ADJUVANTE STRIDES 4X5 L,Litro,3824.99.29,B1260
156007,SPERTO 4X5 KG,kg,3808.69.90,B1260
156015,VITAVAX THIRAM 200 SC 20 L,Litro,3808.92.96,B1260
156031,FERTILIZANTE BIOZYME 20 L,Litro,3105.90.90,B1260
156170,EVOLUTION 2X10 KG,kg,3808.92.93,B1260
156070,FEROCE 5KGX2WSP X 2BAGS,kg,3808.69.90,B1260
156262,FERTILIZANTE 08-40-08,t,3105.20.00,B1450
155538,SEMENTE SOJA BMX DOMINIO IPRO TSI 1114,BBG 1000KG,1201.10.00,01000
156018,SPERTO 10X1 KG,kg,3808.91.99,B1260
155997,SELECT 240 EC 20 L,Litro,3808.93.29,B1260
156024,START 4X5 L,Litro,3808.91.99,B1260
156034,FERTILIZANTE FOLTRON PLUS 4X5 L,Litro,3105.10.00,B1260
155103,FERTILIZANTE SULFATO DE AMONIO,t,3102.21.00,B1450
156047,FLAXTON 4X5 L,Litro,3808.93.59,B1260
156087,FERTILIZANTE 33-00-00,t,3102.90.00,B1450
155987,UNIZEB GOLD 15 KG,kg,3808.92.93,B1260
156005,TRICLON 20 L,Litro,3808.93.29,B1260
155592,SEMENTE SOJA BMX OLIMPO IPRO BRANCA,BBG 1000KG,1201.10.00,01000
156281,FERTILIZANTE 00-24-00,t,3103.90.90,B1450
156165,CARDEAL 4X5 L,Litro,3808.93.29,B1260
156423,SEMENTE DE SOJA HO COARI I2X BB,BBG 1000KG,1201.10.00,01000
153506,FERTILIZANTE SSP 00-21-00,t,3103.19.00,B1450
153507,FERTILIZANTE 00-23-00,t,3103.19.00,B1450
156067,OMITE 720 EC 4X5 L,Litro,3808.99.91,B1260
156071,IMIDAGOLD 700 WG 10X1 KG,kg,3808.91.99,B1260
156233,FERTILIZANTE KCL 00-00-60 IMP,t,3104.20.90,B1450
153390,FERTILIZANTE SSP 00-19-00,t,3103.19.00,B1450
155978,FERTILIZANTE BIOZYME 4X5 L,Litro,3105.10.00,B1260
153511,FERTILIZANTE 00-18-18,t,3105.60.00,B1450
155393,FERTILIZANTE TSP 00-46-00,t,3103.11.00,B1450
155242,FERTILIZANTE UREIA PROTEGIDA,t,3102.10.10,B1450
155986,FERTILIZANTE RAIZAL 1X10 KG,kg,3105.10.00,B1260
156033,FERTILIZANTE FOLTRON PLUS 20 L,Litro,3105.20.00,B1260
156036,FERTILIZANTE K-FOL 1X10 KG,kg,3105.10.00,B1260
156689,FERTILIZANTE 20-00-20 PROTEGIDO,t,3105.90.90,B1450
156908,SAFENITH 20 L,Litro,3808.92.99,B1260
156017,UNIZEB GLORY 15 KG,kg,3808.92.93,B1260
