Id,DT,Remessa,Item Rem,Data de criação,Quantidade,Valor Frete Total,Peso KG,Id Categoria,Id Transportador,Id NF
1,15680911,817345035,10,2023-04-11,"19995,0","12786,95","21174,705",JV01,1722546,"300,0"
2,15680915,817345036,10,2023-04-11,"13005,0","8316,5","13772,295",JV01,1722546,"301,0"
3,15689431,195963249,900001,2023-04-13,"10080,0","0,0","11088,0",JC01,1942026,
4,15689431,195963249,900002,2023-04-13,"10080,0","0,0","11088,0",JC01,1942026,
5,15689431,195963249,900003,2023-04-13,"4800,0","0,0","5280,0",JC01,1942026,
6,15689492,195964127,30,2023-04-13,"0,0","35543,16","0,0",JC01,1942026,
7,15689492,195964127,900001,2023-04-13,"2400,0","0,0","2640,0",JC01,1942026,
8,15689492,195964127,900002,2023-04-13,"10080,0","0,0","11088,0",JC01,1942026,
9,15689492,195964127,900003,2023-04-13,"10080,0","0,0","11088,0",JC01,1942026,
10,15689492,195964127,900004,2023-04-13,"2400,0","0,0","2640,0",JC01,1942026,
11,15748922,817406569,10,2023-04-24,"960,0","371,99","1161,6",JV01,1722546,"302,0"
12,15748922,817406571,10,2023-04-24,"4800,0","1859,32","5808,0",JV01,1722546,"303,0"
13,15748922,817406572,10,2023-04-24,"4800,0","1859,32","5808,0",JV01,1722546,"304,0"
14,15748922,817406573,10,2023-04-24,"4800,0","1859,32","5808,0",JV01,1722546,"305,0"
15,15748922,817406575,10,2023-04-24,"4640,0","1797,21","5614,4",JV01,1722546,"306,0"
16,15758714,817430025,10,2023-04-25,"1800,0","1358,83","1906,2",JV01,1722546,"345,0"
17,15771631,817444007,10,2023-04-26,"50,0","11500,0","50000,0",JV01,2295111,"287,0"
18,15773708,817446453,10,2023-04-27,"50,0","11500,0","50000,0",JV01,2295111,"288,0"
19,15775467,817449463,10,2023-04-27,"38,0","8740,0","38000,0",JV01,2295111,"289,0"
20,15778323,817453225,10,2023-04-27,"31,0","7130,0","31000,0",JV01,2295111,"290,0"
21,15778325,817453226,10,2023-04-27,"38,0","8740,0","38000,0",JV01,2295111,"291,0"
22,15778327,817453227,10,2023-04-27,"50,0","11500,0","50000,0",JV01,2295111,"292,0"
23,15778371,817453228,10,2023-04-27,"40,0","9200,0","40000,0",JV01,2295111,"293,0"
24,15778372,817453231,10,2023-04-27,"50,0","11500,0","50000,0",JV01,2295111,"294,0"
25,15783644,817459264,10,2023-04-28,"32,0","7360,0","32000,0",JV01,2295111,"295,0"
